Year,Country,Geographical Region,Geographical Group,البلد,المجموعة الجغرافية,المنطقة الجغرافية,Value
2020,LIECHTENSTEIN,R5-EUROPE,WESTERN EUROPE,ليختنشتاين,أوروبا الغربية,R5-أوروبا,0.0
2020,LUXEMBOURG,R5-EUROPE,WESTERN EUROPE,لوكسمبورغ,أوروبا الغربية,R5-أوروبا,14.66
2020,MACEDONIA,R5-EUROPE,SOUTHERN EUROPE,مقدونيا,أوروبا الجنوبية,R5-أوروبا,-0.01
2020,NEPAL,R3-ASIA,SOUTHERN ASIA,نيبال,جنوب آسيا,R3-آسيا,-0.03
2020,NIGERIA,R6-AFRICA,SUB-SAHARAN AFRICA,نيجيريا,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.06
2020,NORWAY,R5-EUROPE,NORTHERN EUROPE,النرويج,أوروبا الشمالية,R5-أوروبا,7.34
2020,PAKISTAN,R3-ASIA,SOUTHERN ASIA,باكستان,جنوب آسيا,R3-آسيا,90.76
2020,PALESTINE,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,فلسطين,غربي آسيا,R2-الدول العربية الأخرى,0.98
2020,PERU,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,بيرو,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2020,PORTUGAL,R5-EUROPE,SOUTHERN EUROPE,البرتغال,أوروبا الجنوبية,R5-أوروبا,0.0
2020,QATAR,R1-GCC,COUNTRIES OF ARABIAN GULF,دولة قطر,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,267.85
2020,SRI LANKA,R3-ASIA,SOUTHERN ASIA,سريلانكا (سيلان),جنوب آسيا,R3-آسيا,0.11
2020,SWAZILAND,R6-AFRICA,SUB-SAHARAN AFRICA,سوازيلند,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2020,SYRIA,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,سوريا,غربي آسيا,R2-الدول العربية الأخرى,0.63
2020,TUNISIA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,تونس,أفريقيا الشمالية,R2-الدول العربية الأخرى,-0.01
2020,UNITED ARAB EMIRATES,R1-GCC,COUNTRIES OF ARABIAN GULF,دولة الامارات العربية المتحدة,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,985.03
2020,"VENEZUELA, BOLIVARIAN REPUBLIC OF",R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,فنزويلا,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,-0.01
2020,VIETNAM,R3-ASIA,SOUTH-EASTERN ASIA,فيتنام,جنوب شرقي آسيا,R3-آسيا,0.0
2021,ALGERIA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,الجزائر,أفريقيا الشمالية,R2-الدول العربية الأخرى,-0.06
2021,AUSTRALIA,R7-OCEANIA,AUSTRALIA AND NEW ZEALAND,استراليا,أستراليا ونيوزيلندا,R7-أوقيانيسيا,0.99
2021,AZERBAIJAN,R3-ASIA,WESTERN ASIA,اذربيدجان,غربي آسيا,R3-آسيا,-0.01
2021,BARBADOS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,برباد,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,39.28
2021,BRITISH VIRGIN ISLANDS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,جزر فرجين البريطانية,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,41.61
2021,BRUNEI DARUSSALAM,R3-ASIA,SOUTH-EASTERN ASIA,برونيي,جنوب شرقي آسيا,R3-آسيا,0.08
2021,CAMEROON,R6-AFRICA,SUB-SAHARAN AFRICA,كاميرون شع,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2021,CAYMAN ISLANDS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,جزر كيمان,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,625.07
2021,CHINA,R3-ASIA,EASTERN ASIA,الصين,شرقي آسيا,R3-آسيا,3.15
2021,CYPRUS,R3-ASIA,WESTERN ASIA,قبرص,غربي آسيا,R3-آسيا,21.62
2021,CZECHIA,R5-EUROPE,EASTERN EUROPE,تشيك,أوروبا الشرقية,R5-أوروبا,-0.01
2021,DENMARK,R5-EUROPE,NORTHERN EUROPE,الدنمارك,أوروبا الشمالية,R5-أوروبا,104.14
2021,EGYPT,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,جمهورية مصر العربية,أفريقيا الشمالية,R2-الدول العربية الأخرى,13.85
2021,ESWATINI,R6-AFRICA,SUB-SAHARAN AFRICA,إسواتيني,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,1.36
2021,FINLAND,R5-EUROPE,NORTHERN EUROPE,فنلندا,أوروبا الشمالية,R5-أوروبا,85.45
2021,GHANA,R6-AFRICA,SUB-SAHARAN AFRICA,غانا,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2021,JORDAN,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,الاردن,غربي آسيا,R2-الدول العربية الأخرى,-40.9
2021,LIECHTENSTEIN,R5-EUROPE,WESTERN EUROPE,ليختنشتاين,أوروبا الغربية,R5-أوروبا,0.0
2021,LUXEMBOURG,R5-EUROPE,WESTERN EUROPE,لوكسمبورغ,أوروبا الغربية,R5-أوروبا,29.88
2021,MEXICO,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,المكسيك,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.01
2021,MOROCCO,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,المغرب,أفريقيا الشمالية,R2-الدول العربية الأخرى,2.33
2021,MOZAMBIQUE,R6-AFRICA,SUB-SAHARAN AFRICA,موزمبيق,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2021,NIGERIA,R6-AFRICA,SUB-SAHARAN AFRICA,نيجيريا,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2021,PAKISTAN,R3-ASIA,SOUTHERN ASIA,باكستان,جنوب آسيا,R3-آسيا,92.23
2021,"PALESTINE, STATE OF",R2-OTHER ARAB COUNTRIES,WESTERN ASIA,فلسطين,غربي آسيا,R2-الدول العربية الأخرى,0.26
2021,POLAND,R5-EUROPE,EASTERN EUROPE,بولندا,أوروبا الشرقية,R5-أوروبا,0.11
2021,ROMANIA,R5-EUROPE,EASTERN EUROPE,رومانيا,أوروبا الشرقية,R5-أوروبا,-0.01
2021,SERBIA,R5-EUROPE,SOUTHERN EUROPE,جمهورية صربيا,أوروبا الجنوبية,R5-أوروبا,0.0
2021,SPAIN,R5-EUROPE,SOUTHERN EUROPE,اسبانيا,أوروبا الجنوبية,R5-أوروبا,8.17
2021,SRI LANKA,R3-ASIA,SOUTHERN ASIA,سريلانكا (سيلان),جنوب آسيا,R3-آسيا,0.08
2021,SUDAN,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,السودان,أفريقيا الشمالية,R2-الدول العربية الأخرى,-0.37
2021,SWITZERLAND,R5-EUROPE,WESTERN EUROPE,سويسرا,أوروبا الغربية,R5-أوروبا,-18.41
