Year,Quarter,Contribution Percentage of the Economic Sectors to Quarterly GDP By Type of Activities Producing Goods or Services (Current Prices),نسبة مساهمة القطاعات الاقتصادية في الناتج المحلي الإجمالي الربعي بحسب نوع الإنتاج (سلع/خدمات) بالأسعار الجارية,Contribution Percentage of the Economic Activities to Quarterly GDP By Type of Activities Producing Goods or Services (Current Prices),نسبة مساهمة الأنشطة الاقتصادية في الناتج المحلي الإجمالي الربعي بحسب نوع الإنتاج (سلع/خدمات) بالأسعار الجارية,"Value 
BD Million"
2020,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.4517085289734162
2020,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.4531849833175599
2020,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.474546139750251
2020,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.7515130614436332
2020,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,17.78108803351566
2020,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,20.26669467343168
2020,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.5389581744813938
2020,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.4626172553732986
2020,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,19.6419978861468
2021,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,14.761486433938046
2021,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,24.041992328684312
2021,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,7.397563560879332
2021,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,7.403594518491673
2021,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,6.785825817419915
2021,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.461534764432528
2021,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.4506564293424067
2021,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.429791244425163
2021,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.027993629775685
2021,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,3.641962178285929
2021,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,6.252296544844644
2021,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,17.238048635605168
2021,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.4317920299786406
2021,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.365233464263142
2021,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.3631688347465727
2021,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,16.982260488338195
2022,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,19.241854149328088
2022,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,15.628857746786624
2022,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,23.08887487393478
2022,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,18.885690741690702
2022,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,20.41352762481448
2022,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.3027833324678526
2022,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.2238511671209695
2022,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,3.636159807741731
2022,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,3.4001880116064207
2022,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.3307267741668294
2022,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.5697081672172195
2022,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,5.418392377267631
2022,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,6.141798343005778
2022,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,15.441399153782429
2022,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,15.956293188572882
2022,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.2504369943654428
2022,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,17.512937205529784
2022,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.005570435502992
2023,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,7.22837575339757
2023,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,17.994656020732286
2023,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.495074009542478
