Year,Quarter,Contribution Percentage of the Economic Sectors to Quarterly GDP By Type of Activities Producing Goods or Services (Current Prices),نسبة مساهمة القطاعات الاقتصادية في الناتج المحلي الإجمالي الربعي بحسب نوع الإنتاج (سلع/خدمات) بالأسعار الجارية,Contribution Percentage of the Economic Activities to Quarterly GDP By Type of Activities Producing Goods or Services (Current Prices),نسبة مساهمة الأنشطة الاقتصادية في الناتج المحلي الإجمالي الربعي بحسب نوع الإنتاج (سلع/خدمات) بالأسعار الجارية,"Value 
BD Million"
2021,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,14.561640268819001
2021,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,18.47898853466137
2021,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,19.80280240411747
2021,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.3122056552328947
2021,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.3849573818866787
2021,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.2928842804455116
2021,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.263869377640238
2021,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.033269862032012
2021,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.360744921656571
2021,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.2907938041261409
2021,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,6.605469513513539
2021,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,17.70504994121034
2021,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,15.910562173411858
2021,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,19.692164617073736
2021,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,17.565700930204716
2021,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.488928989514274
2021,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.2292708146732694
2022,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,15.722452377529695
2022,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,6.851345795492701
2022,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,6.383802122881092
2022,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,6.957541132456768
2022,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.435321127212991
2022,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.3433666403674616
2022,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,3.7410529773062495
2022,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,1.6150650915500318
2022,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,14.424666423418445
2022,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,16.985002200475723
2022,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.1691718558595314
2022,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.289558305819808
2022,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.2633639756445465
2022,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,16.83519787350887
2022,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,16.448868946020717
2022,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.2327028735016534
2023,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,13.010505807683566
2023,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.393392691151046
2023,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,3.812619403254457
2023,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,6.305099859857766
2023,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,16.92673054274156
2018,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,15.702942224719827
2018,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,14.620354517287847
2018,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,18.367349559245618
2018,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,7.963483438623547
2018,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,8.170877523483101
2018,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.2587634358210729
2018,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.2342218905276467
2018,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.211983518406719
2018,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.3645493027207705
2018,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.266560397759518
2018,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,2.2362769842709747
2018,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,7.3690115910249405
2018,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,16.691202110581674
2018,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,16.323764364043097
2018,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,16.29382576967858
2018,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,20.757417173269435
2018,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,20.257632238583057
2018,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.888300186783067
2018,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.9470366607488696
2018,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.8887660073602643
2019,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,17.285217709175303
2019,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,17.990964655135304
2019,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Construction,البناء والتشييد,8.474762555414467
2019,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.3145863202990327
2019,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.2042991838983315
2019,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.326926907230004
2019,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.155772330135217
2019,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.45328810660844
2019,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Hotels & Restaurants,الفنادق والمطاعم,2.365717529583674
2019,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,7.405657230020286
2019,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Financial Services,المشروعات المالية,15.895656298360425
2019,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Busniness Services,خدمات الأعمال,1.648792641985046
2019,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,20.522968453477425
2019,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.63777905757073
2020,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,11.707523261915966
2020,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,9.285361471634031
2020,Q4,Activities Producing Goods,الأنشطة المنتجة للسلع,Mining,المناجم,10.637957463369633
2020,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.7588068681808182
2020,Q3,Activities Producing Goods,الأنشطة المنتجة للسلع,Electricity & Water,الكهرباء والماء,1.672885750621103
2020,Q1,Activities Producing Goods,الأنشطة المنتجة للسلع,Other Goods Industries,الصناعات الأخرى المنتجة للسلع,1.460890578216111
2020,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Wholesale & Retail Trade,تجارة الجملة والتجزئة,4.777967269597869
2020,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,8.770538592279738
2020,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,5.619211677397536
2020,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Transport & Communications,المواصلات والاتصالات,6.707253454879103
2020,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,20.33857958439323
2020,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,22.859018489903008
2020,Q4,Activities Producing Services,الأنشطة المنتجة للخدمات,Other Services Industries,الصناعات الأخرى المنتجة للخدمات,19.95668026658379
2020,Q1,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.788408222955955
2020,Q2,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,4.272656678170908
2020,Q3,Activities Producing Services,الأنشطة المنتجة للخدمات,Real Estate,العقارات,3.896052186726168
2021,Q2,Activities Producing Goods,الأنشطة المنتجة للسلع,Manufacturing,الصناعات,19.32462517181046
